ID=1, predicted=3, probability = 441372.9902, true=3, accuracy=1.00
ID=37, predicted=3, probability = 82530.4926, true=3, accuracy=1.00
ID=38, predicted=1, probability = 66719.7380, true=2, accuracy=0.00
ID=39, predicted=2, probability = 229414.3956, true=7, accuracy=0.00
ID=40, predicted=2, probability = 49361.6286, true=7, accuracy=0.00
ID=41, predicted=1, probability = 84570.9586, true=3, accuracy=0.00
ID=42, predicted=5, probability = 122809.6851, true=9, accuracy=0.00
ID=43, predicted=5, probability = 354907.3226, true=1, accuracy=0.00
ID=44, predicted=2, probability = 73556.3231, true=2, accuracy=1.00
ID=45, predicted=2, probability = 295124.3930, true=2, accuracy=1.00
ID=46, predicted=1, probability = 530909.9333, true=2, accuracy=0.00
ID=47, predicted=1, probability = 242606.2804, true=7, accuracy=0.00
ID=48, predicted=1, probability = 1287770.9193, true=1, accuracy=1.00
ID=49, predicted=1, probability = 1107453.6241, true=1, accuracy=1.00
ID=50, predicted=1, probability = 880452.5519, true=1, accuracy=1.00
ID=51, predicted=2, probability = 51982.5391, true=7, accuracy=0.00
ID=52, predicted=1, probability = 843234.0621, true=7, accuracy=0.00
ID=53, predicted=2, probability = 104221.8773, true=2, accuracy=1.00
ID=54, predicted=2, probability = 82794.9966, true=2, accuracy=1.00
ID=55, predicted=2, probability = 249488.5344, true=7, accuracy=0.00
ID=56, predicted=1, probability = 15039.7658, true=2, accuracy=0.00
ID=57, predicted=1, probability = 604918.1191, true=2, accuracy=0.00
ID=58, predicted=7, probability = 0.0000, true=2, accuracy=0.00
ID=59, predicted=1, probability = 31390.1802, true=3, accuracy=0.00
ID=60, predicted=2, probability = 11121.2282, true=3, accuracy=0.00
ID=61, predicted=1, probability = 42664.3454, true=2, accuracy=0.00
ID=62, predicted=2, probability = 357924.2404, true=2, accuracy=1.00
ID=63, predicted=1, probability = 5991.2448, true=1, accuracy=1.00
ID=64, predicted=8, probability = 2015554.3459, true=8, accuracy=1.00
ID=65, predicted=3, probability = 167332.2552, true=3, accuracy=1.00
ID=66, predicted=8, probability = 259406.6141, true=9, accuracy=0.00
ID=67, predicted=7, probability = 0.0154, true=2, accuracy=0.00
ID=68, predicted=8, probability = 1180973.2302, true=8, accuracy=1.00
ID=69, predicted=2, probability = 142329.8493, true=7, accuracy=0.00
ID=70, predicted=1, probability = 730533.0042, true=2, accuracy=0.00
ID=71, predicted=3, probability = 123351.2157, true=9, accuracy=0.00
ID=72, predicted=2, probability = 30572.2122, true=2, accuracy=1.00
ID=73, predicted=3, probability = 3477.8570, true=3, accuracy=1.00
ID=74, predicted=1, probability = 164022.3733, true=7, accuracy=0.00
ID=75, predicted=1, probability = 380711.0852, true=7, accuracy=0.00
ID=76, predicted=1, probability = 188105.4927, true=9, accuracy=0.00
ID=77, predicted=5, probability = 34221.0972, true=3, accuracy=0.00
ID=78, predicted=1, probability = 927906.9785, true=7, accuracy=0.00
ID=79, predicted=8, probability = 570553.1494, true=8, accuracy=1.00
ID=80, predicted=1, probability = 171930.2214, true=7, accuracy=0.00
ID=81, predicted=1, probability = 496014.1360, true=7, accuracy=0.00
ID=82, predicted=5, probability = 31204.0342, true=5, accuracy=1.00
ID=83, predicted=1, probability = 168305.7754, true=5, accuracy=0.00
ID=84, predicted=2, probability = 290236.8994, true=7, accuracy=0.00
ID=85, predicted=1, probability = 639239.3132, true=1, accuracy=1.00
ID=86, predicted=4, probability = 127240.9580, true=4, accuracy=1.00
ID=87, predicted=1, probability = 919517.1884, true=7, accuracy=0.00
ID=88, predicted=3, probability = 166920.3180, true=3, accuracy=1.00
ID=89, predicted=2, probability = 2304.9136, true=2, accuracy=1.00
ID=90, predicted=2, probability = 6136.0567, true=7, accuracy=0.00
ID=91, predicted=2, probability = 569622.3780, true=7, accuracy=0.00
ID=92, predicted=1, probability = 519388.3666, true=7, accuracy=0.00
ID=93, predicted=1, probability = 3540.3966, true=7, accuracy=0.00
ID=94, predicted=1, probability = 1404785.2418, true=1, accuracy=1.00
ID=95, predicted=2, probability = 6.9046, true=2, accuracy=1.00
ID=96, predicted=2, probability = 507871.5708, true=2, accuracy=1.00
ID=97, predicted=1, probability = 703053.2834, true=1, accuracy=1.00
ID=98, predicted=1, probability = 330536.1336, true=2, accuracy=0.00
ID=99, predicted=1, probability = 768797.1598, true=7, accuracy=0.00
ID=100, predicted=2, probability = 214.5598, true=2, accuracy=1.00
ID=101, predicted=1, probability = 203323.0253, true=3, accuracy=0.00
ID=102, predicted=3, probability = 271555.6444, true=3, accuracy=1.00
ID=103, predicted=1, probability = 142668.5870, true=2, accuracy=0.00
ID=104, predicted=1, probability = 1127672.6739, true=7, accuracy=0.00
ID=105, predicted=4, probability = 1486.6753, true=3, accuracy=0.00
ID=106, predicted=3, probability = 341635.3366, true=9, accuracy=0.00
ID=107, predicted=1, probability = 490081.5836, true=6, accuracy=0.00
ID=108, predicted=1, probability = 770035.8463, true=7, accuracy=0.00
ID=109, predicted=2, probability = 651125.6054, true=7, accuracy=0.00
ID=110, predicted=2, probability = 177401.6406, true=1, accuracy=0.00
ID=111, predicted=1, probability = 602464.8594, true=2, accuracy=0.00
ID=112, predicted=1, probability = 1115982.3990, true=2, accuracy=0.00
ID=113, predicted=1, probability = 390726.0292, true=7, accuracy=0.00
ID=114, predicted=1, probability = 606475.3362, true=1, accuracy=1.00
ID=115, predicted=1, probability = 969681.6254, true=7, accuracy=0.00
ID=116, predicted=3, probability = 220194.1490, true=2, accuracy=0.00
ID=117, predicted=1, probability = 168408.5040, true=2, accuracy=0.00
ID=118, predicted=8, probability = 481700.7584, true=8, accuracy=1.00
ID=119, predicted=2, probability = 2384.4067, true=5, accuracy=0.00
ID=120, predicted=2, probability = 12655.9665, true=2, accuracy=1.00
ID=121, predicted=9, probability = 127961.0130, true=7, accuracy=0.00
ID=122, predicted=1, probability = 640473.3054, true=2, accuracy=0.00
ID=123, predicted=4, probability = 248651.1769, true=4, accuracy=1.00
ID=124, predicted=1, probability = 324326.0409, true=7, accuracy=0.00
ID=125, predicted=1, probability = 647870.1678, true=1, accuracy=1.00
ID=126, predicted=1, probability = 756285.7376, true=7, accuracy=0.00
ID=127, predicted=2, probability = 31367.5412, true=7, accuracy=0.00
ID=128, predicted=9, probability = 39973.4789, true=7, accuracy=0.00
ID=129, predicted=2, probability = 30409.4991, true=7, accuracy=0.00
ID=130, predicted=2, probability = 61743.8198, true=2, accuracy=1.00
ID=131, predicted=2, probability = 16439.2273, true=7, accuracy=0.00
ID=132, predicted=9, probability = 69382.4946, true=2, accuracy=0.00
ID=133, predicted=1, probability = 97086.0157, true=2, accuracy=0.00
ID=134, predicted=1, probability = 1117268.3472, true=2, accuracy=0.00
ID=135, predicted=1, probability = 206702.3665, true=1, accuracy=1.00
ID=136, predicted=7, probability = 6118.8554, true=7, accuracy=1.00
ID=137, predicted=8, probability = 832916.3055, true=8, accuracy=1.00
ID=138, predicted=3, probability = 41578.7810, true=3, accuracy=1.00
ID=139, predicted=2, probability = 274615.9185, true=2, accuracy=1.00
ID=140, predicted=5, probability = 155874.9612, true=2, accuracy=0.00
ID=141, predicted=2, probability = 485240.0106, true=7, accuracy=0.00
ID=142, predicted=7, probability = 21698.9824, true=2, accuracy=0.00
ID=143, predicted=3, probability = 241821.9040, true=3, accuracy=1.00
ID=144, predicted=1, probability = 1723810.7304, true=1, accuracy=1.00
ID=145, predicted=1, probability = 1240392.9901, true=7, accuracy=0.00
ID=146, predicted=3, probability = 148712.1047, true=2, accuracy=0.00
ID=147, predicted=2, probability = 370076.8310, true=2, accuracy=1.00
ID=148, predicted=6, probability = 6174.0669, true=1, accuracy=0.00
ID=149, predicted=1, probability = 56696.9491, true=2, accuracy=0.00
ID=150, predicted=2, probability = 6063.1844, true=2, accuracy=1.00
ID=151, predicted=2, probability = 342417.6607, true=7, accuracy=0.00
ID=152, predicted=2, probability = 413854.8874, true=2, accuracy=1.00
ID=153, predicted=2, probability = 73839.5347, true=2, accuracy=1.00
ID=154, predicted=1, probability = 633318.4238, true=1, accuracy=1.00
ID=155, predicted=5, probability = 156935.5049, true=5, accuracy=1.00
ID=156, predicted=2, probability = 374721.9695, true=2, accuracy=1.00
ID=157, predicted=2, probability = 414363.3651, true=7, accuracy=0.00
ID=158, predicted=1, probability = 693539.6085, true=7, accuracy=0.00
ID=159, predicted=2, probability = 183128.0164, true=7, accuracy=0.00
ID=160, predicted=1, probability = 674414.8060, true=2, accuracy=0.00
ID=161, predicted=7, probability = 7505.1440, true=7, accuracy=1.00
ID=162, predicted=1, probability = 1359401.6086, true=1, accuracy=1.00
ID=163, predicted=1, probability = 1650107.4442, true=2, accuracy=0.00
ID=164, predicted=1, probability = 2339308.4964, true=1, accuracy=1.00
ID=165, predicted=4, probability = 283138.1065, true=4, accuracy=1.00
ID=166, predicted=2, probability = 398.8998, true=7, accuracy=0.00
ID=167, predicted=1, probability = 516609.5380, true=7, accuracy=0.00
ID=168, predicted=2, probability = 119769.8397, true=2, accuracy=1.00
ID=169, predicted=1, probability = 333095.9581, true=2, accuracy=0.00
ID=170, predicted=1, probability = 823079.9192, true=1, accuracy=1.00
ID=171, predicted=1, probability = 723834.8577, true=1, accuracy=1.00
ID=172, predicted=4, probability = 14712.7058, true=4, accuracy=1.00
ID=173, predicted=5, probability = 62839.5558, true=1, accuracy=0.00
ID=174, predicted=1, probability = 699175.1403, true=7, accuracy=0.00
ID=175, predicted=2, probability = 420848.1985, true=2, accuracy=1.00
ID=176, predicted=1, probability = 773460.3368, true=7, accuracy=0.00
ID=177, predicted=2, probability = 16847.9173, true=2, accuracy=1.00
ID=178, predicted=1, probability = 33366.1397, true=1, accuracy=1.00
ID=179, predicted=1, probability = 1043059.7295, true=7, accuracy=0.00
ID=180, predicted=7, probability = 4008.3243, true=7, accuracy=1.00
ID=181, predicted=4, probability = 219955.1872, true=4, accuracy=1.00
ID=182, predicted=3, probability = 304870.3494, true=3, accuracy=1.00
ID=183, predicted=3, probability = 504.7168, true=3, accuracy=1.00
ID=184, predicted=2, probability = 138519.4351, true=2, accuracy=1.00
ID=185, predicted=2, probability = 270030.5243, true=2, accuracy=1.00
ID=186, predicted=1, probability = 245496.9970, true=7, accuracy=0.00
ID=187, predicted=1, probability = 80257.9697, true=3, accuracy=0.00
ID=188, predicted=1, probability = 387031.3699, true=7, accuracy=0.00
ID=189, predicted=3, probability = 0.0000, true=2, accuracy=0.00
ID=190, predicted=1, probability = 1864502.4531, true=1, accuracy=1.00
ID=191, predicted=9, probability = 55359.7729, true=7, accuracy=0.00
ID=192, predicted=1, probability = 443450.8594, true=7, accuracy=0.00
ID=193, predicted=1, probability = 342515.4274, true=7, accuracy=0.00
ID=194, predicted=1, probability = 771187.6162, true=9, accuracy=0.00
ID=195, predicted=1, probability = 433003.0305, true=1, accuracy=1.00
ID=196, predicted=1, probability = 682447.4751, true=2, accuracy=0.00
ID=197, predicted=2, probability = 286224.1944, true=2, accuracy=1.00
ID=198, predicted=3, probability = 171770.5065, true=3, accuracy=1.00
ID=199, predicted=1, probability = 4560.6924, true=7, accuracy=0.00
ID=200, predicted=1, probability = 400145.8615, true=7, accuracy=0.00
ID=201, predicted=1, probability = 179350.9844, true=1, accuracy=1.00
ID=202, predicted=3, probability = 453906.2674, true=3, accuracy=1.00
ID=203, predicted=2, probability = 108256.9344, true=2, accuracy=1.00
ID=204, predicted=2, probability = 73990.3191, true=7, accuracy=0.00
ID=205, predicted=3, probability = 115898.7978, true=3, accuracy=1.00
ID=206, predicted=3, probability = 22530.1947, true=3, accuracy=1.00
ID=207, predicted=2, probability = 26733.0339, true=7, accuracy=0.00
ID=208, predicted=1, probability = 226646.0495, true=1, accuracy=1.00
ID=209, predicted=3, probability = 125423.3482, true=3, accuracy=1.00
ID=210, predicted=1, probability = 35520.8070, true=2, accuracy=0.00
ID=211, predicted=1, probability = 93486.0620, true=3, accuracy=0.00
ID=212, predicted=1, probability = 824974.2484, true=2, accuracy=0.00
ID=213, predicted=1, probability = 7184.3573, true=1, accuracy=1.00
ID=214, predicted=7, probability = 4085.1032, true=1, accuracy=0.00
ID=215, predicted=2, probability = 163577.9286, true=7, accuracy=0.00
ID=216, predicted=2, probability = 3497.3191, true=2, accuracy=1.00
ID=217, predicted=1, probability = 912618.1469, true=1, accuracy=1.00
ID=218, predicted=1, probability = 150951.5538, true=3, accuracy=0.00
ID=219, predicted=1, probability = 11957.7389, true=1, accuracy=1.00
ID=220, predicted=1, probability = 731992.7334, true=1, accuracy=1.00
ID=221, predicted=2, probability = 39179.8512, true=2, accuracy=1.00
ID=222, predicted=1, probability = 580293.1929, true=7, accuracy=0.00
ID=223, predicted=3, probability = 36114.0202, true=3, accuracy=1.00
ID=224, predicted=1, probability = 1263772.8147, true=1, accuracy=1.00
ID=225, predicted=8, probability = 58757.1003, true=8, accuracy=1.00
ID=226, predicted=2, probability = 30436.3963, true=7, accuracy=0.00
ID=227, predicted=1, probability = 482416.9126, true=1, accuracy=1.00
ID=228, predicted=1, probability = 393129.1656, true=7, accuracy=0.00
ID=229, predicted=1, probability = 670715.2205, true=9, accuracy=0.00
ID=230, predicted=1, probability = 387268.4380, true=1, accuracy=1.00
ID=231, predicted=2, probability = 25161.6548, true=1, accuracy=0.00
ID=232, predicted=7, probability = 0.0000, true=7, accuracy=1.00
ID=233, predicted=1, probability = 98938.5676, true=3, accuracy=0.00
ID=234, predicted=1, probability = 506901.4866, true=7, accuracy=0.00
ID=235, predicted=5, probability = 214758.6276, true=1, accuracy=0.00
ID=236, predicted=2, probability = 221.8993, true=2, accuracy=1.00
ID=237, predicted=3, probability = 0.0000, true=7, accuracy=0.00
ID=238, predicted=2, probability = 19178.1750, true=1, accuracy=0.00
ID=239, predicted=4, probability = 126847.0661, true=4, accuracy=1.00
ID=240, predicted=5, probability = 304214.2941, true=3, accuracy=0.00
ID=241, predicted=1, probability = 456495.0660, true=7, accuracy=0.00
ID=242, predicted=1, probability = 405903.7675, true=7, accuracy=0.00
ID=243, predicted=1, probability = 815073.6255, true=3, accuracy=0.00
ID=244, predicted=8, probability = 1268505.8548, true=8, accuracy=1.00
ID=245, predicted=2, probability = 34868.5595, true=2, accuracy=1.00
ID=246, predicted=2, probability = 186597.6345, true=7, accuracy=0.00
ID=247, predicted=2, probability = 70017.9775, true=2, accuracy=1.00
ID=248, predicted=2, probability = 847.0910, true=1, accuracy=0.00
ID=249, predicted=1, probability = 1040761.8835, true=7, accuracy=0.00
ID=250, predicted=1, probability = 827499.5425, true=1, accuracy=1.00
ID=251, predicted=1, probability = 282019.8378, true=9, accuracy=0.00
ID=252, predicted=3, probability = 120247.8475, true=3, accuracy=1.00
ID=253, predicted=2, probability = 323283.7008, true=1, accuracy=0.00
ID=254, predicted=1, probability = 1706088.3346, true=7, accuracy=0.00
ID=255, predicted=1, probability = 1371856.0486, true=1, accuracy=1.00
ID=256, predicted=8, probability = 729245.9180, true=4, accuracy=0.00
ID=257, predicted=1, probability = 334380.4787, true=3, accuracy=0.00
ID=258, predicted=2, probability = 58.0853, true=2, accuracy=1.00
ID=259, predicted=1, probability = 701421.5778, true=1, accuracy=1.00
ID=260, predicted=2, probability = 245584.5903, true=3, accuracy=0.00
ID=261, predicted=2, probability = 80981.8217, true=2, accuracy=1.00
ID=262, predicted=2, probability = 743.0580, true=2, accuracy=1.00
ID=263, predicted=8, probability = 629003.4469, true=4, accuracy=0.00
ID=264, predicted=9, probability = 125581.2310, true=9, accuracy=1.00
ID=265, predicted=1, probability = 313108.9431, true=2, accuracy=0.00
ID=266, predicted=1, probability = 294729.4316, true=2, accuracy=0.00
ID=267, predicted=4, probability = 187330.7762, true=4, accuracy=1.00
ID=268, predicted=1, probability = 1615019.7174, true=7, accuracy=0.00
ID=269, predicted=1, probability = 2136200.3395, true=7, accuracy=0.00
ID=270, predicted=1, probability = 261181.6958, true=7, accuracy=0.00
ID=271, predicted=1, probability = 414512.2043, true=7, accuracy=0.00
ID=272, predicted=1, probability = 106567.3795, true=7, accuracy=0.00
ID=273, predicted=4, probability = 164052.6087, true=8, accuracy=0.00
ID=274, predicted=2, probability = 317236.5462, true=2, accuracy=1.00
ID=275, predicted=1, probability = 485964.7705, true=2, accuracy=0.00
ID=276, predicted=1, probability = 127857.8108, true=7, accuracy=0.00
ID=277, predicted=3, probability = 324635.6474, true=3, accuracy=1.00
ID=278, predicted=3, probability = 65807.1218, true=2, accuracy=0.00
ID=279, predicted=1, probability = 356357.1134, true=1, accuracy=1.00
ID=280, predicted=2, probability = 44759.2250, true=2, accuracy=1.00
ID=281, predicted=1, probability = 519875.3073, true=7, accuracy=0.00
ID=282, predicted=8, probability = 554087.0501, true=7, accuracy=0.00
ID=283, predicted=2, probability = 92115.0636, true=2, accuracy=1.00
ID=284, predicted=1, probability = 1231593.9260, true=7, accuracy=0.00
ID=285, predicted=2, probability = 95512.9412, true=2, accuracy=1.00
ID=286, predicted=2, probability = 325815.5618, true=7, accuracy=0.00
ID=287, predicted=8, probability = 409844.2619, true=2, accuracy=0.00
ID=288, predicted=1, probability = 302305.7027, true=7, accuracy=0.00
ID=289, predicted=3, probability = 34728.9748, true=3, accuracy=1.00
ID=290, predicted=3, probability = 135567.2337, true=2, accuracy=0.00
ID=291, predicted=1, probability = 307114.3015, true=3, accuracy=0.00
ID=292, predicted=5, probability = 320896.0767, true=5, accuracy=1.00
ID=293, predicted=2, probability = 44005.5094, true=2, accuracy=1.00
ID=294, predicted=1, probability = 516514.5409, true=7, accuracy=0.00
ID=295, predicted=7, probability = 62273.9960, true=8, accuracy=0.00
ID=296, predicted=2, probability = 202367.6681, true=1, accuracy=0.00
ID=297, predicted=3, probability = 106034.0094, true=3, accuracy=1.00
ID=298, predicted=2, probability = 2572.9612, true=2, accuracy=1.00
ID=299, predicted=1, probability = 948710.3051, true=7, accuracy=0.00
ID=300, predicted=6, probability = 696.8615, true=1, accuracy=0.00
ID=301, predicted=8, probability = 1981.4708, true=7, accuracy=0.00
ID=302, predicted=1, probability = 613438.8585, true=1, accuracy=1.00
ID=303, predicted=1, probability = 584277.5032, true=1, accuracy=1.00
ID=304, predicted=2, probability = 36253.3416, true=3, accuracy=0.00
ID=305, predicted=2, probability = 243313.1063, true=2, accuracy=1.00
ID=306, predicted=2, probability = 18885.6394, true=2, accuracy=1.00
ID=307, predicted=9, probability = 49162.6332, true=7, accuracy=0.00
ID=308, predicted=1, probability = 683609.5088, true=8, accuracy=0.00
ID=309, predicted=1, probability = 285594.5886, true=7, accuracy=0.00
ID=310, predicted=1, probability = 1143480.2663, true=1, accuracy=1.00
ID=311, predicted=3, probability = 417368.3794, true=3, accuracy=1.00
ID=312, predicted=2, probability = 197921.4711, true=7, accuracy=0.00
ID=313, predicted=1, probability = 1398313.4930, true=1, accuracy=1.00
ID=314, predicted=1, probability = 86007.0641, true=7, accuracy=0.00
ID=315, predicted=1, probability = 189119.0114, true=7, accuracy=0.00
ID=316, predicted=7, probability = 67480.3804, true=7, accuracy=1.00
ID=317, predicted=1, probability = 31134.6031, true=7, accuracy=0.00
ID=318, predicted=2, probability = 12094.8334, true=7, accuracy=0.00
ID=319, predicted=3, probability = 142078.9914, true=3, accuracy=1.00
ID=320, predicted=1, probability = 171833.2614, true=1, accuracy=1.00
ID=321, predicted=3, probability = 242796.9019, true=9, accuracy=0.00
ID=322, predicted=1, probability = 224986.5495, true=7, accuracy=0.00
ID=323, predicted=1, probability = 518709.2536, true=7, accuracy=0.00
ID=324, predicted=3, probability = 173338.5490, true=3, accuracy=1.00
ID=325, predicted=5, probability = 150960.2259, true=5, accuracy=1.00
ID=326, predicted=1, probability = 472181.2285, true=2, accuracy=0.00
ID=327, predicted=1, probability = 50410.9669, true=2, accuracy=0.00
ID=328, predicted=1, probability = 640013.2322, true=7, accuracy=0.00
ID=329, predicted=3, probability = 9930.9594, true=3, accuracy=1.00
ID=330, predicted=1, probability = 1038114.4001, true=1, accuracy=1.00
ID=331, predicted=1, probability = 207137.7932, true=7, accuracy=0.00
ID=332, predicted=5, probability = 20268.5166, true=5, accuracy=1.00
ID=333, predicted=2, probability = 508681.4339, true=2, accuracy=1.00
ID=334, predicted=1, probability = 368447.7374, true=7, accuracy=0.00
ID=335, predicted=1, probability = 148528.3373, true=2, accuracy=0.00
ID=336, predicted=6, probability = 345.4863, true=6, accuracy=1.00
ID=337, predicted=2, probability = 82694.6542, true=2, accuracy=1.00
ID=338, predicted=7, probability = 0.0051, true=2, accuracy=0.00
ID=339, predicted=1, probability = 111229.5327, true=9, accuracy=0.00
ID=340, predicted=2, probability = 1321.2879, true=7, accuracy=0.00
ID=341, predicted=3, probability = 155.1445, true=9, accuracy=0.00
ID=342, predicted=3, probability = 28455.1382, true=3, accuracy=1.00
ID=343, predicted=5, probability = 3781.6536, true=5, accuracy=1.00
ID=344, predicted=10, probability = 0.0000, true=5, accuracy=0.00
ID=345, predicted=2, probability = 18071.0896, true=2, accuracy=1.00
ID=346, predicted=2, probability = 45461.6519, true=2, accuracy=1.00
ID=347, predicted=1, probability = 6637.1724, true=2, accuracy=0.00
ID=348, predicted=1, probability = 562019.3621, true=1, accuracy=1.00
ID=349, predicted=2, probability = 100165.8206, true=2, accuracy=1.00
ID=350, predicted=1, probability = 350989.5139, true=2, accuracy=0.00
ID=351, predicted=1, probability = 724840.9270, true=7, accuracy=0.00
ID=352, predicted=1, probability = 114649.4807, true=7, accuracy=0.00
ID=353, predicted=10, probability = 0.0000, true=7, accuracy=0.00
ID=354, predicted=1, probability = 47720.4307, true=6, accuracy=0.00
ID=355, predicted=1, probability = 452581.7383, true=1, accuracy=1.00
ID=356, predicted=1, probability = 560833.3612, true=1, accuracy=1.00
ID=357, predicted=2, probability = 240416.0020, true=2, accuracy=1.00
ID=358, predicted=2, probability = 110315.2247, true=7, accuracy=0.00
ID=359, predicted=1, probability = 114043.5680, true=7, accuracy=0.00
ID=360, predicted=1, probability = 428906.6936, true=7, accuracy=0.00
ID=361, predicted=3, probability = 202340.9352, true=3, accuracy=1.00
ID=362, predicted=5, probability = 51684.2612, true=7, accuracy=0.00
ID=363, predicted=1, probability = 751904.4774, true=2, accuracy=0.00
ID=364, predicted=1, probability = 227151.1602, true=2, accuracy=0.00
ID=365, predicted=2, probability = 5134.7083, true=7, accuracy=0.00
ID=366, predicted=1, probability = 407994.0631, true=7, accuracy=0.00
ID=367, predicted=1, probability = 417537.0919, true=2, accuracy=0.00
ID=368, predicted=1, probability = 503022.3619, true=6, accuracy=0.00
ID=369, predicted=2, probability = 435.4894, true=2, accuracy=1.00
ID=370, predicted=6, probability = 82.3798, true=1, accuracy=0.00
ID=371, predicted=3, probability = 243000.4754, true=3, accuracy=1.00
ID=372, predicted=2, probability = 613.0261, true=2, accuracy=1.00
ID=373, predicted=2, probability = 386444.5524, true=2, accuracy=1.00
ID=374, predicted=1, probability = 617.1586, true=7, accuracy=0.00
ID=375, predicted=2, probability = 19635.8702, true=2, accuracy=1.00
ID=376, predicted=1, probability = 58737.9203, true=2, accuracy=0.00
ID=377, predicted=3, probability = 297378.4333, true=3, accuracy=1.00
ID=378, predicted=2, probability = 123820.1458, true=7, accuracy=0.00
ID=379, predicted=1, probability = 38336.3425, true=7, accuracy=0.00
ID=380, predicted=2, probability = 38040.6327, true=2, accuracy=1.00
ID=381, predicted=1, probability = 448960.7903, true=1, accuracy=1.00
ID=382, predicted=2, probability = 4207.7367, true=7, accuracy=0.00
ID=383, predicted=1, probability = 423450.6625, true=1, accuracy=1.00
ID=384, predicted=4, probability = 409716.4820, true=4, accuracy=1.00
ID=385, predicted=1, probability = 270076.4760, true=1, accuracy=1.00
ID=386, predicted=2, probability = 145868.7276, true=7, accuracy=0.00
ID=387, predicted=7, probability = 238.5113, true=5, accuracy=0.00
ID=388, predicted=2, probability = 167821.3762, true=2, accuracy=1.00
ID=389, predicted=1, probability = 2299.3540, true=7, accuracy=0.00
ID=390, predicted=1, probability = 899654.3388, true=1, accuracy=1.00
ID=391, predicted=1, probability = 1038793.1699, true=7, accuracy=0.00
ID=392, predicted=1, probability = 542080.3501, true=7, accuracy=0.00
ID=393, predicted=1, probability = 16868.4491, true=2, accuracy=0.00
ID=394, predicted=1, probability = 324691.2952, true=7, accuracy=0.00
ID=395, predicted=1, probability = 1159012.9771, true=7, accuracy=0.00
ID=396, predicted=1, probability = 9202.6446, true=2, accuracy=0.00
ID=397, predicted=3, probability = 13446.8274, true=3, accuracy=1.00
ID=398, predicted=2, probability = 10584.6998, true=7, accuracy=0.00
ID=399, predicted=1, probability = 113430.8592, true=2, accuracy=0.00
ID=400, predicted=2, probability = 258416.8182, true=2, accuracy=1.00
ID=401, predicted=2, probability = 1880.5057, true=7, accuracy=0.00
ID=402, predicted=5, probability = 61105.0515, true=1, accuracy=0.00
ID=403, predicted=2, probability = 2940.2774, true=2, accuracy=1.00
ID=404, predicted=2, probability = 142746.2454, true=7, accuracy=0.00
ID=405, predicted=1, probability = 676398.7280, true=2, accuracy=0.00
ID=406, predicted=5, probability = 87040.4455, true=3, accuracy=0.00
ID=407, predicted=10, probability = 0.0005, true=10, accuracy=1.00
ID=408, predicted=2, probability = 51466.8901, true=2, accuracy=1.00
ID=409, predicted=3, probability = 269021.8569, true=3, accuracy=1.00
ID=410, predicted=2, probability = 20075.2024, true=2, accuracy=1.00
